01200;3;koniec
01300;4;koniec
01400;5;koniec
01800;6;koniec
01900;6;koniec
02100;12;koniec
02200;13;koniec
02300;14;koniec
02500;15;koniec
02600;16;koniec
02800;17;koniec
02900;18;koniec
03100;10;koniec
03200;11;koniec
04100;7;koniec
04200;19;koniec
04300;27;koniec
05100;8;koniec
05200;20;koniec
05300;28;koniec
06100;22;koniec
06200;23;koniec
07100;3;koniec
07200;3;koniec
07300;4;koniec
07400;5;koniec
07800;6;koniec
07900;6;koniec
08100;12;koniec
08200;13;koniec
08300;14;koniec
08500;15;koniec
08600;16;koniec
08800;17;koniec
08900;18;koniec
09100;6;koniec
09200;18;koniec
09300;7;koniec
09400;19;koniec
09500;8;koniec
09500;20;koniec
09600;24;koniec
11100;31;koniec
11200;31;koniec
11900;31;koniec
12100;32;koniec
12200;32;koniec
12300;33;koniec
12400;34;koniec
13100;35;koniec
13200;35;koniec
13900;35;koniec
19100;31;koniec
19200;32;koniec
19300;32;koniec
19400;33;koniec
19500;34;koniec
19600;35;koniec
21100;52;koniec
21300;52;koniec
22100;53;koniec
26100;53;koniec
31100;43;koniec
31200;43;koniec
31300;43;koniec
31400;43;koniec
31500;44;koniec
32100;88;koniec
32200;88;koniec
32300;78;koniec
32300;78;koniec
32400;88;koniec
32500;88;koniec
32600;88;koniec
33100;89;koniec
33300;89;koniec
33500;50;koniec
33600;90;koniec
34100;91;koniec
34100;91;koniec
34200;91;koniec
34200;91;koniec
34300;91;koniec
34400;91;koniec
34500;91;koniec
34500;91;koniec
34600;92;koniec
34600;92;koniec
34800;92;koniec
36700;93;koniec
36800;94;koniec
37300;50;koniec
37300;96;koniec
37500;50;koniec
37800;50;koniec
37900;96;koniec
38100;58;koniec
38300;102;koniec
38400;103;koniec
38500;59;koniec
39100;38;koniec
39100;50;koniec
39500;31;koniec
41100;63;koniec
41200;64;koniec
41300;65;koniec
41400;66;koniec
41500;67;koniec
42100;69;koniec
42300;70;koniec
42700;71;koniec
42800;72;koniec
42900;72;koniec
43100;72;koniec
45100;76;koniec
45100;78;koniec
45900;77;koniec
46100;98;koniec
47200;80;koniec
47300;81;koniec
47400;82;koniec
47500;83;koniec
47600;84;koniec
47800;85;koniec
47900;86;koniec